Year,Temperature_K,Temperature_C,Pressure_Pa,Specific_Humidity,Relative_Humidity,Temperature_StdDev,Pressure_StdDev,Specific_Humidity_StdDev
2015,299.45,26.3,96227.84,0.01,45.0,1.25,1494.2,0.0006
2016,299.46,26.31,96146.19,0.0102,46.04,1.14,1493.37,0.0004
2017,299.6,26.45,96143.54,0.0099,44.25,1.08,1493.21,0.0005
2018,300.03,26.88,96130.16,0.0096,41.88,1.08,1491.24,0.0004
2019,299.49,26.34,96148.87,0.0105,47.05,0.92,1483.59,0.0004
2020,298.9,25.75,96113.95,0.0105,48.51,0.92,1472.7,0.0005
2021,298.99,25.84,96083.73,0.0102,47.14,0.97,1469.1,0.0004
2022,299.11,25.96,96047.05,0.0099,45.5,0.95,1471.93,0.0004
2023,298.9,25.75,96189.04,0.0103,47.7,0.88,1475.9,0.0003
2024,299.68,26.53,96073.72,0.0109,48.38,0.92,1468.89,0.0006
